사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-10,2호선,0225,방배,6,0,"2,583","2,796","9,044","11,094","22,321","26,506","31,118","73,269","26,764","54,881","20,843","31,981","22,240","27,486","24,123","28,603","26,972","26,377","29,484","25,961","32,327","24,760","39,462","25,695","46,762","32,891","64,516","37,462","29,921","27,215","23,925","17,345","22,875","15,810","18,547","16,249","7,096","9,705","1,447","2,404",1,12,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0226,사당,122,3,"12,362","4,347","26,372","38,793","72,770","50,034","103,376","70,630","78,444","54,608","50,677","47,255","47,326","55,356","53,477","57,270","55,758","54,319","59,955","54,716","62,852","65,138","66,440","84,828","79,615","119,584","95,486","164,413","68,300","114,109","64,216","70,503","69,684","67,098","63,847","65,785","35,708","41,644","5,102","10,747",4,566,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0227,낙성대(강감찬),25,0,"11,343","2,390","26,405","10,491","80,737","20,137","122,653","39,788","80,699","34,033","46,344","29,581","40,370","25,522","44,302","28,844","43,260","30,956","38,168","32,947","38,814","38,077","43,661","46,089","47,549","60,571","50,598","99,082","29,478","85,744","23,312","55,692","20,860","53,453","15,880","54,432","8,269","34,064","1,210","8,479",0,140,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0228,서울대입구(관악구청),"4,154",24,"28,251","2,891","41,956","15,163","121,278","29,429","172,538","66,264","117,830","64,859","71,796","56,166","63,817","47,430","70,315","53,784","74,832","59,390","66,849","58,509","70,399","66,902","77,076","79,891","87,858","107,468","91,184","167,592","56,022","141,273","46,785","87,239","47,218","82,152","42,904","82,341","22,005","49,593","3,028","19,270",0,"3,333",0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0229,봉천,78,2,"15,616","1,623","27,580","7,182","79,411","12,207","118,000","26,388","71,764","21,550","42,703","19,186","35,164","21,760","38,084","23,442","36,471","25,988","31,455","28,549","29,817","37,091","33,602","42,939","31,739","56,344","32,862","82,447","19,475","71,455","15,816","44,361","13,473","43,379","10,460","40,896","4,252","24,308",735,"7,321",1,354,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0230,신림,306,7,"38,649","4,393","71,568","19,961","183,708","28,410","273,219","45,729","170,806","45,975","98,129","41,851","81,921","46,799","86,401","53,737","81,642","60,263","74,533","67,031","73,338","83,292","79,389","101,801","82,516","138,645","83,258","219,968","55,449","200,106","47,648","126,516","42,910","123,682","37,876","114,822","20,808","73,978","3,593","20,893",5,401,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0231,신대방,210,4,"25,809","2,254","35,305","9,659","86,779","16,373","128,367","27,626","80,629","20,178","47,400","18,461","39,244","18,859","38,397","22,057","36,573","25,403","30,738","29,143","29,740","39,034","32,722","47,505","34,451","63,242","35,222","90,791","21,468","81,165","16,007","55,661","12,764","59,371","9,930","55,178","4,745","32,226",793,"8,299",2,162,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0232,구로디지털단지,343,20,"39,439","5,411","53,176","20,339","133,865","76,505","177,880","225,606","113,472","137,994","70,906","59,804","65,316","45,476","69,113","48,978","70,563","59,856","63,114","60,649","66,563","68,397","78,944","83,676","132,454","110,974","210,103","159,801","101,516","134,423","64,612","86,384","52,703","86,769","40,920","82,802","18,492","49,349","2,895","12,850",1,191,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0233,대림(구로구청),787,36,"34,353","3,857","31,743","10,756","65,099","21,873","92,992","53,160","63,750","34,429","38,998","31,469","34,350","33,715","35,626","32,026","35,543","33,506","32,689","33,962","33,543","41,441","37,698","50,950","44,204","63,474","52,207","70,139","26,731","55,567","19,658","39,060","15,103","48,236","11,733","45,124","5,483","22,049",821,"5,713",2,157,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0234,신도림,"4,091",23,"34,571","5,852","49,916","22,239","130,882","40,431","141,108","105,062","90,787","68,590","62,851","65,704","62,822","63,874","70,207","68,408","72,601","72,825","73,162","69,014","75,545","77,331","85,964","91,445","102,129","119,152","121,244","175,005","73,382","123,971","62,080","73,499","63,654","71,057","51,486","68,734","21,565","51,967","2,512","22,283",9,"2,319",0,1,0,0,2022-11-03 10:23:13
